subname,hand_response,session,event,source,channel,side,onset_s,onset_min,time_in_session_s,wall_time,onset_absolute,duration_s,delta_since_last_RR,irt,irt_roll,cv_irt_roll,streak_response,streak_reset,is_mirror,scorer,scored_at
TT002,R,Session 1,Start Session 1,trigger,,,390.282,6.5047,0.0,2026-07-04 14:24:08.588,390.282,,,,,,,,False,,
TT002,R,Session 1,No Rep Probe,trigger,,,390.734,6.5122,0.452,2026-07-04 14:24:09.040,390.734,,,,,,,,False,,
TT002,R,Session 1,Sched Probe,trigger,,,391.188,6.5198,0.906,2026-07-04 14:24:09.494,391.188,,,,,,,,False,,
TT002,R,Session 1,Manual Probe,trigger,,,391.622,6.527,1.34,2026-07-04 14:24:09.928,391.622,,,,,,,,False,,
TT002,R,Session 1,End Probe,trigger,,,392.056,6.5343,1.774,2026-07-04 14:24:10.362,392.056,,,,,,,,False,,
TT002,R,Session 1,End Session 1,trigger,,,392.486,6.5414,2.204,2026-07-04 14:24:10.792,392.486,,,,,,,,False,,
TT002,R,Session 1,Break,trigger,,,392.918,6.5486,2.636,2026-07-04 14:24:11.224,392.918,,,,,,,,False,,
TT002,R,Session 1,EndBreak,trigger,,,393.354,6.5559,3.072,2026-07-04 14:24:11.660,393.354,,,,,,,,False,,
TT002,R,Session 1,Correct/Undo,trigger,,,393.786,6.5631,3.504,2026-07-04 14:24:12.092,393.786,,,,,,,,False,,
TT002,R,Session 1,trigger resp BTN,trigger,,,394.224,6.5704,3.942,2026-07-04 14:24:12.530,394.224,,,,,,,,False,,
TT002,R,Session 1,trigger reset BTN,trigger,,,394.654,6.5776,4.372,2026-07-04 14:24:12.960,394.654,,,,,,,,False,,
TT002,R,Session 1,Rep Probe,trigger,,,395.082,6.5847,4.8,2026-07-04 14:24:13.388,395.082,,,,,,,,False,,
TT002,R,Session 1,Reset Probe,trigger,,,395.516,6.5919,5.234,2026-07-04 14:24:13.822,395.516,,,,,,,,False,,
TT002,R,Session 1,Safety Probe,trigger,,,395.956,6.5993,5.674,2026-07-04 14:24:14.262,395.956,,,,,,,,False,,
TT002,R,Session 2,Start Session 2,trigger,,,423.252,7.0542,0.0,2026-07-04 14:24:41.558,423.252,,,,,,,,False,,
TT002,R,Session 2,trigger resp BTN,trigger,,,470.768,7.8461,47.516,2026-07-04 14:25:29.074,470.768,,,,,,,,False,,
TT002,R,Session 2,trigger resp BTN,trigger,,,479.01,7.9835,55.758,2026-07-04 14:25:37.316,479.01,,,,,,,,False,,
TT002,R,Session 2,Sched Probe,trigger,,,486.832,8.1139,63.58,2026-07-04 14:25:45.138,486.832,,,,,,,,False,,
TT002,R,Session 2,End Probe,trigger,,,605.938,10.099,182.686,2026-07-04 14:27:44.244,605.938,,,,,,,,False,,
TT002,R,Session 2,End Session 2,trigger,,,605.972,10.0995,182.72,2026-07-04 14:27:44.278,605.972,,,,,,,,False,,
TT002,R,Session 3,Start Session 3,trigger,,,682.32,11.372,0.0,2026-07-04 14:29:00.626,682.32,,,,,,,,False,,
TT002,R,Session 3,trigger resp BTN,trigger,,,703.25,11.7208,20.93,2026-07-04 14:29:21.556,703.25,,,,,,,,False,,
TT002,R,Session 3,trigger resp BTN,trigger,,,723.79,12.0632,41.47,2026-07-04 14:29:42.096,723.79,,,,,,,,False,,
TT002,R,Session 3,trigger resp BTN,trigger,,,744.844,12.4141,62.524,2026-07-04 14:30:03.150,744.844,,,,,,,,False,,
TT002,R,Session 3,trigger resp BTN,trigger,,,766.988,12.7831,84.668,2026-07-04 14:30:25.294,766.988,,,,,,,,False,,
TT002,R,Session 3,trigger resp BTN,trigger,,,788.54,13.1423,106.22,2026-07-04 14:30:46.846,788.54,,,,,,,,False,,
TT002,R,Session 3,trigger resp BTN,trigger,,,812.896,13.5483,130.576,2026-07-04 14:31:11.202,812.896,,,,,,,,False,,
TT002,R,Session 3,trigger resp BTN,trigger,,,836.146,13.9358,153.826,2026-07-04 14:31:34.452,836.146,,,,,,,,False,,
TT002,R,Session 3,trigger resp BTN,trigger,,,860.448,14.3408,178.128,2026-07-04 14:31:58.754,860.448,,,,,,,,False,,
TT002,R,Session 3,trigger resp BTN,trigger,,,883.072,14.7179,200.752,2026-07-04 14:32:21.378,883.072,,,,,,,,False,,
TT002,R,Session 3,trigger resp BTN,trigger,,,907.896,15.1316,225.576,2026-07-04 14:32:46.202,907.896,,,,,,,,False,,
TT002,R,Session 3,trigger resp BTN,trigger,,,932.1,15.535,249.78,2026-07-04 14:33:10.406,932.1,,,,,,,,False,,
TT002,R,Session 3,trigger resp BTN,trigger,,,956.59,15.9432,274.27,2026-07-04 14:33:34.896,956.59,,,,,,,,False,,
TT002,R,Session 3,trigger resp BTN,trigger,,,981.7,16.3617,299.38,2026-07-04 14:34:00.006,981.7,,,,,,,,False,,
TT002,R,Session 3,trigger resp BTN,trigger,,,1006.736,16.7789,324.416,2026-07-04 14:34:25.042,1006.736,,,,,,,,False,,
TT002,R,Session 3,trigger resp BTN,trigger,,,1030.562,17.176,348.242,2026-07-04 14:34:48.868,1030.562,,,,,,,,False,,
TT002,R,Session 3,trigger resp BTN,trigger,,,1055.976,17.5996,373.656,2026-07-04 14:35:14.282,1055.976,,,,,,,,False,,
TT002,R,Session 3,trigger resp BTN,trigger,,,1079.584,17.9931,397.264,2026-07-04 14:35:37.890,1079.584,,,,,,,,False,,
TT002,R,Session 3,trigger resp BTN,trigger,,,1105.184,18.4197,422.864,2026-07-04 14:36:03.490,1105.184,,,,,,,,False,,
