subject,session,event,channel,onset_s,offset_s,duration_s
TT005,pre-session,Response,Left Thumb,226.182,227.152,0.97
TT005,pre-session,Reset,Right Thumb,517.994,518.734,0.74
TT005,pre-session,Response,Left Thumb,1603.612,1604.064,0.452
TT005,pre-session,Reset,Right Thumb,1606.296,1610.424,4.128
TT005,pre-session,Response,Left Thumb,1648.404,1663.046,14.642
TT005,pre-session,Reset,Right Thumb,1662.882,1663.256,0.374
TT005,Session 2,Response,Left Thumb,1691.998,1692.238,0.24
TT005,Session 2,Response,Left Thumb,1703.122,1703.36,0.238
TT005,Session 2,Response,Left Thumb,1714.142,1714.418,0.276
TT005,Session 2,Response,Left Thumb,1724.498,1724.702,0.204
TT005,Session 2,Response,Left Thumb,1735.452,1735.604,0.152
TT005,Session 2,Response,Left Thumb,1747.144,1747.346,0.202
TT005,Session 3,Response,Left Thumb,2132.224,2132.712,0.488
TT005,Session 3,Response,Left Thumb,2154.192,2154.66,0.468
TT005,Session 3,Response,Left Thumb,2189.652,2190.104,0.452
TT005,Session 3,Response,Left Thumb,2222.856,2223.254,0.398
TT005,Session 3,Response,Left Thumb,2254.388,2254.806,0.418
TT005,Session 3,Reset,Right Thumb,2268.99,2269.528,0.538
TT005,Session 3,Response,Left Thumb,2302.176,2302.834,0.658
TT005,Session 3,Response,Left Thumb,2336.944,2337.404,0.46
TT005,Session 3,Reset,Right Thumb,2361.274,2361.882,0.608
TT005,Session 3,Response,Left Thumb,2397.216,2397.686,0.47
TT005,Session 3,Response,Left Thumb,2430.622,2431.098,0.476
TT005,Session 3,Response,Left Thumb,2582.496,2582.934,0.438
TT005,Session 3,Response,Left Thumb,2609.136,2609.802,0.666
TT005,Session 3,Response,Left Thumb,2640.11,2640.9,0.79
TT005,Session 3,Response,Left Thumb,2670.982,2671.43,0.448
TT005,Session 3,Response,Left Thumb,2700.094,2700.646,0.552
TT005,Session 3,Response,Left Thumb,2729.256,2729.676,0.42
TT005,Session 3,Response,Left Thumb,2750.216,2750.712,0.496
TT005,Session 3,Response,Left Thumb,2776.048,2776.526,0.478
TT005,Session 3,Response,Left Thumb,2807.396,2807.848,0.452
TT005,Session 3,Response,Left Thumb,2835.158,2835.568,0.41
TT005,Session 3,Response,Left Thumb,2860.174,2860.722,0.548
TT005,Session 3,Response,Left Thumb,2911.654,2912.028,0.374
TT005,Session 3,Reset,Right Thumb,2927.396,2928.026,0.63
TT005,Session 3,Response,Left Thumb,2954.91,2955.366,0.456
TT005,Session 3,Response,Left Thumb,2975.658,2976.174,0.516
TT005,Session 3,Reset,Right Thumb,3003.012,3003.57,0.558
TT005,Session 3,Response,Left Thumb,3037.238,3037.668,0.43
TT005,Session 3,Response,Left Thumb,3065.902,3066.346,0.444
TT005,Session 4,Response,Left Thumb,3560.124,3560.814,0.69
TT005,Session 4,Response,Left Thumb,3594.576,3595.21,0.634
TT005,Session 4,Response,Left Thumb,3627.54,3628.186,0.646
TT005,Session 4,Response,Left Thumb,3657.346,3657.896,0.55
TT005,Session 4,Reset,Right Thumb,3687.114,3687.744,0.63
TT005,Session 4,Response,Left Thumb,3722.844,3723.41,0.566
TT005,Session 4,Reset,Right Thumb,3742.908,3743.554,0.646
TT005,Session 4,Reset,Right Thumb,3762.912,3763.602,0.69
TT005,Session 4,Reset,Right Thumb,3795.332,3796.048,0.716
TT005,Session 4,Response,Left Thumb,3829.734,3830.312,0.578
TT005,Session 4,Reset,Right Thumb,3849.774,3850.396,0.622
TT005,Session 4,Reset,Right Thumb,3893.726,3894.31,0.584
TT005,Session 4,Response,Left Thumb,3937.166,3937.82,0.654
TT005,Session 4,Response,Left Thumb,3961.764,3962.37,0.606
TT005,Session 4,Reset,Right Thumb,3982.316,3982.934,0.618
TT005,Session 4,Reset,Right Thumb,4004.828,4005.494,0.666
TT005,Session 4,Reset,Right Thumb,4020.478,4021.1,0.622
TT005,Session 4,Reset,Right Thumb,4037.404,4038.014,0.61
TT005,Session 4,Reset,Right Thumb,4057.43,4058.08,0.65
TT005,Session 4,Response,Left Thumb,4093.116,4093.674,0.558
TT005,Session 4,Reset,Right Thumb,4110.266,4110.874,0.608
TT005,Session 4,Reset,Right Thumb,4141.148,4141.78,0.632
TT005,Session 4,Reset,Right Thumb,4176.57,4177.1,0.53
TT005,Session 4,Reset,Right Thumb,4191.278,4191.778,0.5
TT005,Session 4,Reset,Right Thumb,4240.006,4240.54,0.534
TT005,Session 4,Reset,Right Thumb,4263.788,4264.342,0.554
TT005,Session 4,Reset,Right Thumb,4285.114,4285.722,0.608
TT005,Session 4,Response,Left Thumb,4306.352,4306.954,0.602
TT005,Session 4,Reset,Right Thumb,4339.07,4339.582,0.512
TT005,Session 4,Reset,Right Thumb,4374.378,4375.006,0.628
TT005,Session 4,Reset,Right Thumb,4398.086,4399.32,1.234
TT005,Session 4,Reset,Right Thumb,4413.78,4414.632,0.852
TT005,Session 4,Reset,Right Thumb,4439.0,4439.672,0.672
TT005,Session 4,Reset,Right Thumb,4452.652,4453.222,0.57
TT005,Session 4,Reset,Right Thumb,4461.814,4462.34,0.526
TT005,Session 4,Reset,Right Thumb,4473.678,4474.292,0.614
TT005,Session 4,Reset,Right Thumb,4485.43,4485.928,0.498
TT005,Session 4,Reset,Right Thumb,4518.854,4519.332,0.478
TT005,Session 4,Response,Left Thumb,4577.066,4577.242,0.176
TT005,Session 4,Reset,Right Thumb,4599.902,4601.18,1.278
TT005,Session 4,Reset,Right Thumb,4621.598,4622.186,0.588
TT005,Session 4,Reset,Right Thumb,4654.464,4655.082,0.618
TT005,Session 4,Reset,Right Thumb,4681.246,4682.002,0.756
TT005,Session 4,Response,Left Thumb,4709.178,4710.182,1.004
TT005,Session 4,Reset,Right Thumb,4725.686,4726.296,0.61
TT005,Session 4,Reset,Right Thumb,4754.902,4755.452,0.55
TT005,Session 4,Reset,Right Thumb,4783.394,4783.918,0.524
TT005,Session 4,Reset,Right Thumb,4808.894,4809.464,0.57
TT005,Session 4,Reset,Right Thumb,4841.238,4841.828,0.59
TT005,Session 4,Response,Left Thumb,4869.452,4870.114,0.662
TT005,Session 4,Reset,Right Thumb,4895.174,4895.87,0.696
TT005,Session 4,Reset,Right Thumb,4919.766,4920.39,0.624
TT005,Session 4,Reset,Right Thumb,4955.6,4956.192,0.592
TT005,Session 4,Reset,Right Thumb,4975.474,4976.058,0.584
TT005,Session 4,Reset,Right Thumb,5023.34,5023.918,0.578
TT005,Session 4,Reset,Right Thumb,5080.822,5081.494,0.672
TT005,Session 5,Response,Left Thumb,5498.698,5499.42,0.722
TT005,Session 5,Response,Left Thumb,5536.25,5536.788,0.538
TT005,Session 5,Response,Left Thumb,5568.204,5568.752,0.548
TT005,Session 5,Response,Left Thumb,5698.618,5699.34,0.722
TT005,Session 5,Response,Left Thumb,5727.596,5728.204,0.608
TT005,Session 5,Response,Left Thumb,5758.528,5759.142,0.614
TT005,Session 5,Response,Left Thumb,5795.826,5796.418,0.592
TT005,Session 5,Response,Left Thumb,5831.51,5832.12,0.61
TT005,Session 5,Response,Left Thumb,5947.05,5947.618,0.568
TT005,Session 5,Response,Left Thumb,5979.064,5979.684,0.62
TT005,Session 5,Response,Left Thumb,6012.642,6013.296,0.654
TT005,Session 5,Response,Left Thumb,6051.28,6051.932,0.652
TT005,Session 5,Response,Left Thumb,6093.834,6094.432,0.598
TT005,Session 5,Response,Left Thumb,6133.606,6134.138,0.532
TT005,Session 5,Response,Left Thumb,6166.05,6166.634,0.584
TT005,Session 5,Response,Left Thumb,6217.126,6217.72,0.594
TT005,Session 5,Response,Left Thumb,6353.15,6353.762,0.612
TT005,Session 5,Reset,Right Thumb,6381.89,6382.54,0.65
TT005,Session 5,Response,Left Thumb,6420.144,6421.644,1.5
TT005,Session 5,Response,Left Thumb,6461.464,6462.072,0.608
TT005,Session 5,Response,Left Thumb,6499.536,6500.178,0.642
TT005,Session 5,Response,Left Thumb,6534.794,6535.498,0.704
TT005,Session 5,Response,Left Thumb,6574.016,6574.704,0.688
