subject,session,event,channel,onset_s,offset_s,duration_s
TT004,Session 2,Response,Left Thumb,1074.128,1074.608,0.48
TT004,Session 2,Response,Left Thumb,1086.2,1086.434,0.234
TT004,Session 2,Response,Left Thumb,1096.21,1096.834,0.624
TT004,Session 2,Response,Left Thumb,1106.312,1106.924,0.612
TT004,Session 2,Response,Left Thumb,1115.188,1115.714,0.526
TT004,Session 2,Reset,Right Thumb,1118.36,1118.578,0.218
TT004,Session 5,Response,Left Thumb,1380.362,1380.89,0.528
TT004,Session 5,Response,Left Thumb,1406.926,1407.464,0.538
TT004,Session 5,Response,Left Thumb,1433.822,1434.372,0.55
TT004,Session 5,Response,Left Thumb,1460.518,1461.04,0.522
TT004,Session 5,Response,Left Thumb,1489.042,1489.54,0.498
TT004,Session 5,Response,Left Thumb,1517.836,1518.33,0.494
TT004,Session 5,Response,Left Thumb,1547.886,1548.402,0.516
TT004,Session 5,Response,Left Thumb,1576.442,1577.024,0.582
TT004,Session 5,Response,Left Thumb,1612.842,1613.334,0.492
TT004,Session 5,Response,Left Thumb,1638.94,1639.476,0.536
TT004,Session 5,Reset,Right Thumb,1656.05,1656.376,0.326
TT004,Session 5,Reset,Right Thumb,1682.856,1683.746,0.89
TT004,Session 5,Response,Left Thumb,1714.782,1715.372,0.59
TT004,Session 5,Reset,Right Thumb,1734.722,1738.44,3.718
TT004,Session 5,Response,Left Thumb,1767.132,1767.798,0.666
TT004,Session 5,Reset,Right Thumb,1779.71,1780.008,0.298
TT004,Session 5,Reset,Right Thumb,1799.006,1799.294,0.288
TT004,Session 5,Response,Left Thumb,1833.714,1834.272,0.558
TT004,Session 5,Reset,Right Thumb,1847.324,1848.16,0.836
TT004,Session 5,Reset,Right Thumb,1870.814,1871.798,0.984
TT004,Session 5,Response,Left Thumb,1895.112,1895.636,0.524
TT004,Session 5,Reset,Right Thumb,1911.392,1911.972,0.58
TT004,Session 5,Reset,Right Thumb,1950.484,1950.718,0.234
TT004,Session 5,Reset,Right Thumb,2022.59,2022.784,0.194
TT004,Session 5,Response,Left Thumb,2060.814,2061.38,0.566
TT004,Session 5,Reset,Right Thumb,2082.938,2083.108,0.17
TT004,Session 5,Response,Left Thumb,2107.114,2107.354,0.24
TT004,Session 5,Response,Left Thumb,2119.09,2119.692,0.602
TT004,Session 5,Response,Left Thumb,2140.376,2140.84,0.464
TT004,Session 5,Response,Left Thumb,2161.49,2162.006,0.516
TT004,Session 5,Response,Left Thumb,2198.152,2198.594,0.442
TT004,Session 5,Reset,Right Thumb,2247.712,2247.986,0.274
TT004,Session 6,Response,Left Thumb,2657.216,2657.868,0.652
TT004,Session 6,Response,Left Thumb,2682.186,2682.724,0.538
TT004,Session 6,Response,Left Thumb,2708.49,2709.062,0.572
TT004,Session 6,Response,Left Thumb,2732.638,2733.25,0.612
TT004,Session 6,Response,Left Thumb,2758.018,2758.62,0.602
TT004,Session 6,Reset,Right Thumb,2779.112,2779.714,0.602
TT004,Session 6,Response,Left Thumb,2807.798,2808.404,0.606
TT004,Session 6,Response,Left Thumb,2836.072,2836.562,0.49
