subject,session,event,channel,onset_s,offset_s,duration_s
TT006,pre-session,Response,Right Thumb,463.85,464.204,0.354
TT006,pre-session,Response,Right Thumb,472.098,472.348,0.25
TT006,pre-session,Reset,Left Thumb,479.484,480.784,1.3
TT006,Session 2,Response,Right Thumb,604.266,604.81,0.544
TT006,Session 2,Response,Right Thumb,615.972,616.578,0.606
TT006,Session 3,Response,Right Thumb,899.162,899.75,0.588
TT006,Session 3,Response,Right Thumb,929.29,930.024,0.734
TT006,Session 3,Response,Right Thumb,960.55,961.07,0.52
TT006,Session 3,Response,Right Thumb,993.032,993.582,0.55
TT006,Session 3,Response,Right Thumb,1027.668,1028.274,0.606
TT006,Session 3,Response,Right Thumb,1059.154,1059.674,0.52
TT006,Session 3,Response,Right Thumb,1093.852,1094.36,0.508
TT006,Session 3,Response,Right Thumb,1127.552,1128.16,0.608
TT006,Session 3,Response,Right Thumb,1160.254,1160.916,0.662
TT006,Session 3,Response,Right Thumb,1194.424,1195.002,0.578
TT006,Session 3,Reset,Left Thumb,1220.45,1221.172,0.722
TT006,Session 3,Response,Right Thumb,1253.34,1253.902,0.562
TT006,Session 3,Response,Right Thumb,1284.506,1285.056,0.55
TT006,Session 3,Response,Right Thumb,1315.484,1316.026,0.542
TT006,Session 3,Response,Right Thumb,1345.906,1346.46,0.554
TT006,Session 3,Response,Right Thumb,1379.622,1379.904,0.282
TT006,Session 3,Reset,Left Thumb,1417.312,1417.912,0.6
TT006,Session 3,Response,Right Thumb,1449.608,1450.104,0.496
TT006,Session 3,Response,Right Thumb,1483.682,1484.282,0.6
TT006,Session 3,Reset,Left Thumb,1512.46,1513.134,0.674
TT006,Session 3,Response,Right Thumb,1545.446,1545.982,0.536
TT006,Session 3,Reset,Left Thumb,1574.428,1575.05,0.622
TT006,Session 3,Response,Right Thumb,1609.362,1609.928,0.566
TT006,Session 3,Response,Right Thumb,1642.888,1643.402,0.514
TT006,Session 3,Response,Right Thumb,1678.574,1678.842,0.268
TT006,Session 3,Response,Right Thumb,1712.348,1712.908,0.56
TT006,Session 3,Response,Right Thumb,1745.024,1745.572,0.548
