subject,session,event,channel,onset_s,offset_s,duration_s
TT012,Session 2,Response,Left Index+Middle,1211.612,1213.856,2.244
TT012,Session 2,Response,Left Index+Middle,1223.302,1223.778,0.476
TT012,Session 2,Reset,Right Thumb,1229.222,1235.216,5.994
TT012,Session 2,Response,Left Index+Middle,1249.212,1249.704,0.492
TT012,Session 3,Response,Left Index+Middle,1512.37,1512.856,0.486
TT012,Session 3,Response,Left Index+Middle,1544.736,1545.302,0.566
TT012,Session 3,Response,Left Index+Middle,1575.868,1576.496,0.628
TT012,Session 3,Response,Left Index+Middle,1606.322,1606.86,0.538
TT012,Session 3,Response,Left Index+Middle,1636.194,1636.706,0.512
TT012,Session 3,Response,Left Index+Middle,1666.922,1667.446,0.524
TT012,Session 3,Response,Left Index+Middle,1697.708,1698.226,0.518
TT012,Session 3,Response,Left Index+Middle,1727.784,1728.272,0.488
TT012,Session 3,Response,Left Index+Middle,1759.114,1759.662,0.548
TT012,Session 3,Response,Left Index+Middle,1791.212,1791.928,0.716
TT012,Session 3,Response,Left Index+Middle,1822.018,1822.536,0.518
TT012,Session 3,Response,Left Index+Middle,1852.67,1853.182,0.512
TT012,Session 3,Response,Left Index+Middle,1882.866,1883.424,0.558
TT012,Session 3,Response,Left Index+Middle,1912.484,1913.034,0.55
TT012,Session 3,Response,Left Index+Middle,1942.49,1942.958,0.468
TT012,Session 3,Response,Left Index+Middle,1972.03,1972.508,0.478
TT012,Session 3,Response,Left Index+Middle,2001.426,2001.936,0.51
TT012,Session 3,Response,Left Index+Middle,2064.068,2064.704,0.636
TT012,Session 3,Response,Left Index+Middle,2093.082,2093.578,0.496
TT012,Session 3,Response,Left Index+Middle,2122.89,2123.072,0.182
TT012,Session 3,Response,Left Index+Middle,2151.088,2151.546,0.458
TT012,Session 3,Response,Left Index+Middle,2181.808,2182.22,0.412
TT012,Session 3,Reset,Right Thumb,2184.778,2185.288,0.51
TT012,Session 3,Response,Left Index+Middle,2217.01,2217.458,0.448
TT012,Session 3,Response,Left Index+Middle,2244.71,2245.184,0.474
TT012,Session 3,Response,Left Index+Middle,2272.738,2273.246,0.508
TT012,Session 3,Response,Left Index+Middle,2300.806,2301.348,0.542
TT012,Session 3,Response,Left Index+Middle,2328.716,2329.214,0.498
TT012,Session 3,Response,Left Index+Middle,2358.45,2358.94,0.49
TT012,Session 4,Response,Left Index+Middle,2711.074,2711.61,0.536
TT012,Session 4,Response,Left Index+Middle,2742.282,2742.914,0.632
TT012,Session 4,Response,Left Index+Middle,2771.69,2772.274,0.584
TT012,Session 4,Response,Left Index+Middle,2802.056,2802.632,0.576
TT012,Session 4,Reset,Right Thumb,2846.952,2847.454,0.502
TT012,Session 4,Response,Left Index+Middle,2876.652,2877.352,0.7
TT012,Session 4,Reset,Right Thumb,2899.266,2899.79,0.524
TT012,Session 4,Response,Left Index+Middle,2928.702,2929.176,0.474
TT012,Session 4,Reset,Right Thumb,2943.636,2944.18,0.544
TT012,Session 4,Response,Left Index+Middle,2970.484,2970.682,0.198
TT012,Session 4,Reset,Right Thumb,3005.522,3006.184,0.662
TT012,Session 4,Reset,Right Thumb,3019.916,3020.522,0.606
TT012,Session 5,Response,Left Index+Middle,3347.5,3348.058,0.558
TT012,Session 5,Response,Left Index+Middle,3382.708,3382.862,0.154
TT012,Session 5,Response,Left Index+Middle,3417.714,3417.914,0.2
TT012,Session 5,Response,Left Index+Middle,3571.566,3572.1,0.534
TT012,Session 5,Response,Left Index+Middle,3603.2,3603.628,0.428
TT012,Session 5,Response,Left Index+Middle,3630.09,3630.602,0.512
TT012,Session 5,Response,Left Index+Middle,3659.726,3660.272,0.546
TT012,Session 5,Response,Left Index+Middle,3688.126,3688.714,0.588
TT012,Session 5,Response,Left Index+Middle,3830.574,3830.822,0.248
TT012,Session 5,Reset,Right Thumb,3851.2,3851.866,0.666
TT012,Session 5,Reset,Right Thumb,3903.938,3904.604,0.666
TT012,Session 5,Response,Left Index+Middle,3934.746,3935.246,0.5
TT012,Session 5,Response,Left Index+Middle,3963.984,3964.53,0.546
TT012,Session 5,Response,Left Index+Middle,3980.134,3980.29,0.156
TT012,Session 5,Reset,Right Thumb,4000.532,4001.444,0.912
TT012,Session 5,Reset,Right Thumb,4024.324,4024.846,0.522
TT012,Session 5,Reset,Right Thumb,4040.634,4041.152,0.518
TT012,Session 5,Response,Left Index+Middle,4272.574,4273.136,0.562
TT012,Session 5,Reset,Right Thumb,4290.746,4291.372,0.626
TT012,Session 5,Reset,Right Thumb,4323.232,4323.81,0.578
TT012,Session 5,Reset,Right Thumb,4337.816,4338.442,0.626
TT012,Session 5,Reset,Right Thumb,4549.996,4550.192,0.196
TT012,Session 5,Reset,Right Thumb,4581.304,4581.98,0.676
TT012,Session 5,Reset,Right Thumb,4613.02,4613.722,0.702
TT012,Session 5,Reset,Right Thumb,4619.25,4619.842,0.592
TT012,Session 5,Response,Left Index+Middle,4648.572,4649.114,0.542
TT012,Session 5,Reset,Right Thumb,4684.352,4684.976,0.624
TT012,Session 5,Reset,Right Thumb,4917.82,4918.552,0.732
TT012,Session 5,Response,Left Index+Middle,5189.768,5190.362,0.594
TT012,Session 5,Response,Left Index+Middle,5240.522,5240.99,0.468
TT012,Session 5,Reset,Right Thumb,5286.306,5289.52,3.214
TT012,Session 5,Response,Left Index+Middle,5286.504,5286.878,0.374
TT012,Session 5,Response,Left Index+Middle,5317.742,5318.236,0.494
TT012,Session 5,Response,Left Index+Middle,5331.232,5331.646,0.414
TT012,Session 5,Reset,Right Thumb,5353.412,5354.314,0.902
TT012,Session 5,Reset,Right Thumb,5371.736,5372.368,0.632
TT012,Session 5,Reset,Right Thumb,5394.94,5395.616,0.676
TT012,Session 5,Response,Left Index+Middle,5523.638,5524.24,0.602
TT012,Session 5,Response,Left Index+Middle,5539.544,5540.052,0.508
TT012,Session 5,Reset,Right Thumb,5560.72,5561.364,0.644
TT012,Session 5,Response,Left Index+Middle,5590.074,5590.706,0.632
TT012,Session 5,Response,Left Index+Middle,5654.094,5655.988,1.894
TT012,Session 5,Response,Left Index+Middle,5688.542,5689.85,1.308
TT012,Session 5,Response,Left Index+Middle,5710.076,5710.366,0.29
TT012,Session 5,Reset,Right Thumb,5710.496,5711.088,0.592
TT012,Session 5,Response,Left Index+Middle,5719.566,5720.288,0.722
TT012,Session 5,Response,Left Index+Middle,5742.092,5742.66,0.568
TT012,Session 5,Response,Left Index+Middle,5773.12,5773.614,0.494
TT012,Session 5,Reset,Right Thumb,5787.214,5787.888,0.674
TT012,Session 5,Reset,Right Thumb,5834.02,5834.686,0.666
TT012,Session 5,Reset,Right Thumb,5851.252,5851.932,0.68
TT012,Session 5,Reset,Right Thumb,5862.62,5863.292,0.672
TT012,Session 5,Reset,Right Thumb,5876.134,5876.808,0.674
TT012,Session 5,Response,Left Index+Middle,6003.098,6003.69,0.592
TT012,Session 5,Response,Left Index+Middle,6032.728,6033.5,0.772
TT012,Session 5,Response,Left Index+Middle,6063.156,6063.97,0.814
TT012,Session 5,Response,Left Index+Middle,6073.036,6073.614,0.578
TT012,Session 5,Response,Left Index+Middle,6103.026,6103.77,0.744
TT012,Session 5,Response,Left Index+Middle,6121.898,6122.518,0.62
TT012,Session 5,Response,Left Index+Middle,6139.144,6139.368,0.224
TT012,Session 5,Response,Left Index+Middle,6169.274,6170.054,0.78
TT012,Session 5,Reset,Right Thumb,6212.602,6213.366,0.764
TT012,Session 5,Response,Left Index+Middle,6502.016,6502.436,0.42
TT012,Session 5,Response,Left Index+Middle,6520.578,6521.598,1.02
TT012,Session 5,Response,Left Index+Middle,6596.222,6596.936,0.714
TT012,Session 5,Reset,Right Thumb,6599.85,6600.114,0.264
TT012,Session 5,Response,Left Index+Middle,6810.48,6810.64,0.16
TT012,Session 5,Reset,Right Thumb,6861.186,6861.552,0.366
TT012,Session 5,Reset,Right Thumb,6888.19,6888.912,0.722
