subject,session,event,channel,onset_s,offset_s,duration_s
TT003,pre-session,Reset,Left Thumb,1229.292,1234.698,5.406
TT003,pre-session,Response,Right Thumb,1332.99,1334.18,1.19
TT003,pre-session,Response,Right Thumb,1407.25,1407.786,0.536
TT003,pre-session,Response,Right Thumb,1426.296,1426.848,0.552
TT003,pre-session,Reset,Left Thumb,1427.232,1432.03,4.798
TT003,pre-session,Response,Right Thumb,1438.36,1442.074,3.714
TT003,pre-session,Response,Right Thumb,1471.734,1473.788,2.054
TT003,pre-session,Reset,Left Thumb,1485.772,1486.722,0.95
TT003,pre-session,Reset,Left Thumb,1527.32,1528.664,1.344
TT003,Session 3,Response,Right Thumb,2260.146,2261.304,1.158
TT003,Session 3,Response,Right Thumb,2314.05,2314.402,0.352
TT003,Session 3,Response,Right Thumb,2352.23,2353.306,1.076
TT003,Session 3,Response,Right Thumb,2393.09,2394.154,1.064
TT003,Session 3,Response,Right Thumb,2431.424,2432.506,1.082
TT003,Session 3,Response,Right Thumb,2473.204,2474.538,1.334
TT003,Session 3,Response,Right Thumb,2520.098,2521.308,1.21
TT003,Session 3,Response,Right Thumb,2563.314,2564.478,1.164
TT003,Session 3,Response,Right Thumb,2600.936,2602.028,1.092
TT003,Session 3,Response,Right Thumb,2659.928,2661.156,1.228
TT003,Session 3,Response,Right Thumb,2692.402,2693.458,1.056
TT003,Session 3,Response,Right Thumb,2724.534,2725.058,0.524
TT003,Session 4,Response,Right Thumb,3341.422,3341.924,0.502
TT003,Session 4,Response,Right Thumb,3378.888,3379.82,0.932
TT003,Session 4,Response,Right Thumb,3423.586,3424.532,0.946
TT003,Session 4,Response,Right Thumb,3474.934,3476.13,1.196
TT003,Session 4,Response,Right Thumb,3515.546,3516.78,1.234
TT003,Session 4,Response,Right Thumb,3574.524,3575.556,1.032
TT003,Session 4,Response,Right Thumb,3630.426,3631.406,0.98
TT003,Session 5,Response,Right Thumb,4045.582,4046.69,1.108
TT003,Session 5,Response,Right Thumb,4088.834,4089.804,0.97
TT003,Session 5,Response,Right Thumb,4132.092,4133.1,1.008
TT003,Session 5,Response,Right Thumb,4315.004,4316.054,1.05
TT003,Session 5,Response,Right Thumb,4361.678,4362.748,1.07
TT003,Session 5,Reset,Left Thumb,4407.106,4407.774,0.668
TT003,Session 5,Response,Right Thumb,4427.888,4428.246,0.358
TT003,Session 5,Reset,Left Thumb,4472.118,4472.824,0.706
TT003,Session 5,Response,Right Thumb,4609.02,4609.728,0.708
TT003,Session 5,Response,Right Thumb,4626.774,4627.68,0.906
TT003,Session 5,Response,Right Thumb,4785.766,4788.286,2.52
TT003,Session 5,Reset,Left Thumb,4788.088,4788.786,0.698
TT003,Session 5,Response,Right Thumb,4816.376,4817.448,1.072
TT003,Session 5,Reset,Left Thumb,4848.2,4848.984,0.784
TT003,Session 5,Response,Right Thumb,5206.626,5207.48,0.854
TT003,Session 5,Response,Right Thumb,5241.364,5242.616,1.252
TT003,Session 5,Response,Right Thumb,5293.326,5294.526,1.2
TT003,Session 5,Reset,Left Thumb,5316.118,5316.824,0.706
TT003,Session 5,Reset,Left Thumb,5353.536,5354.286,0.75
TT003,Session 5,Response,Right Thumb,5388.978,5390.042,1.064
TT003,Session 5,Reset,Left Thumb,5406.128,5406.874,0.746
TT003,Session 5,Reset,Left Thumb,5590.49,5591.488,0.998
TT003,Session 5,Response,Right Thumb,5623.256,5623.956,0.7
TT003,Session 5,Response,Right Thumb,5652.672,5653.418,0.746
TT003,Session 5,Response,Right Thumb,5697.93,5698.804,0.874
TT003,Session 5,Reset,Left Thumb,5728.344,5729.084,0.74
TT003,Session 5,Reset,Left Thumb,5768.722,5769.328,0.606
TT003,Session 5,Reset,Left Thumb,5820.628,5821.212,0.584
TT003,Session 5,Response,Right Thumb,5963.486,5964.352,0.866
TT003,Session 5,Response,Right Thumb,5999.208,6000.174,0.966
TT003,Session 5,Reset,Left Thumb,6040.29,6040.886,0.596
TT003,Session 5,Response,Right Thumb,6075.334,6076.108,0.774
TT003,Session 5,Reset,Left Thumb,6096.024,6096.772,0.748
TT003,Session 5,Reset,Left Thumb,6138.396,6138.954,0.558
TT003,Session 5,Reset,Left Thumb,6164.686,6165.24,0.554
TT003,Session 5,Response,Right Thumb,6199.776,6200.812,1.036
TT003,Session 5,Response,Right Thumb,6428.788,6429.826,1.038
TT003,Session 5,Reset,Left Thumb,6468.438,6469.108,0.67
TT003,Session 5,Response,Right Thumb,6501.392,6502.378,0.986
TT003,Session 5,Reset,Left Thumb,6560.31,6561.0,0.69
TT003,Session 5,Response,Right Thumb,6601.016,6601.864,0.848
TT003,Session 5,Reset,Left Thumb,6688.2,6688.748,0.548
TT003,Session 5,Response,Right Thumb,6839.654,6840.652,0.998
TT003,Session 5,Response,Right Thumb,6875.456,6876.516,1.06
TT003,Session 5,Response,Right Thumb,6912.854,6913.858,1.004
TT003,Session 5,Response,Right Thumb,6954.652,6955.798,1.146
TT003,Session 5,Reset,Left Thumb,6976.842,6977.564,0.722
TT003,Session 5,Response,Right Thumb,7035.21,7036.208,0.998
TT003,Session 5,Reset,Left Thumb,7110.8,7111.548,0.748
TT003,Session 5,Response,Right Thumb,7134.558,7135.374,0.816
TT003,Session 5,Reset,Left Thumb,7343.93,7345.658,1.728
TT003,Session 5,Response,Right Thumb,7380.322,7381.012,0.69
TT003,Session 5,Response,Right Thumb,7417.422,7418.068,0.646
TT003,Session 5,Response,Right Thumb,7456.252,7457.016,0.764
TT003,Session 5,Reset,Left Thumb,7512.918,7513.6,0.682
TT003,Session 5,Response,Right Thumb,7741.016,7741.814,0.798
TT003,Session 5,Response,Right Thumb,7772.704,7773.34,0.636
TT003,Session 5,Response,Right Thumb,7817.19,7817.706,0.516
TT003,Session 5,Response,Right Thumb,7860.33,7860.84,0.51
TT003,Session 5,Response,Right Thumb,7901.832,7902.678,0.846
TT003,Session 5,Response,Right Thumb,8037.864,8038.498,0.634
TT003,Session 5,Response,Right Thumb,8083.866,8084.578,0.712
TT003,Session 5,Response,Right Thumb,8118.074,8118.786,0.712
TT003,Session 5,Response,Right Thumb,8141.586,8142.344,0.758
TT003,Session 5,Response,Right Thumb,8171.536,8172.316,0.78
TT003,Session 5,Response,Right Thumb,8188.262,8188.744,0.482
TT003,Session 5,Response,Right Thumb,8197.826,8198.532,0.706
TT003,Session 5,Response,Right Thumb,8261.978,8262.714,0.736
TT003,Session 5,Response,Right Thumb,8281.448,8282.042,0.594
TT003,Session 5,Response,Right Thumb,8427.468,8428.256,0.788
TT003,Session 5,Response,Right Thumb,8479.2,8479.82,0.62
TT003,Session 5,Response,Right Thumb,8520.382,8521.184,0.802
