subject,session,event,channel,onset_s,offset_s,duration_s
TT008,pre-session,Response,Right Thumb,1453.65,1455.09,1.44
TT008,pre-session,Response,Right Thumb,1463.31,1470.268,6.958
TT008,pre-session,Response,Right Thumb,1477.778,1483.414,5.636
TT008,Session 2,Response,Right Thumb,1531.864,1532.254,0.39
TT008,Session 2,Response,Right Thumb,1543.01,1543.478,0.468
TT008,Session 2,Response,Right Thumb,1553.332,1553.694,0.362
TT008,Session 2,Response,Right Thumb,1562.23,1562.51,0.28
TT008,Session 2,Reset,Left Index+Middle,1565.402,1568.522,3.12
TT008,Session 2,Response,Right Thumb,1580.362,1580.644,0.282
TT008,Session 3,Response,Right Thumb,1873.924,1874.596,0.672
TT008,Session 3,Response,Right Thumb,1907.72,1908.626,0.906
TT008,Session 3,Response,Right Thumb,1939.094,1939.812,0.718
TT008,Session 3,Response,Right Thumb,1973.498,1974.17,0.672
TT008,Session 3,Response,Right Thumb,2005.648,2006.222,0.574
TT008,Session 3,Response,Right Thumb,2039.006,2039.676,0.67
TT008,Session 3,Response,Right Thumb,2069.062,2069.732,0.67
TT008,Session 3,Response,Right Thumb,2103.034,2103.71,0.676
TT008,Session 3,Response,Right Thumb,2134.904,2135.648,0.744
TT008,Session 3,Response,Right Thumb,2177.082,2177.63,0.548
TT008,Session 3,Response,Right Thumb,2212.83,2213.386,0.556
TT008,Session 3,Response,Right Thumb,2250.296,2250.88,0.584
TT008,Session 3,Response,Right Thumb,2289.75,2290.368,0.618
TT008,Session 3,Response,Right Thumb,2322.678,2323.284,0.606
TT008,Session 3,Response,Right Thumb,2352.67,2353.238,0.568
TT008,Session 3,Response,Right Thumb,2381.362,2381.936,0.574
TT008,Session 3,Response,Right Thumb,2408.496,2409.054,0.558
TT008,Session 3,Response,Right Thumb,2438.394,2438.904,0.51
TT008,Session 3,Response,Right Thumb,2465.63,2466.122,0.492
TT008,Session 3,Response,Right Thumb,2491.566,2492.1,0.534
TT008,Session 3,Response,Right Thumb,2519.088,2519.688,0.6
TT008,Session 3,Response,Right Thumb,2545.132,2545.65,0.518
TT008,Session 3,Response,Right Thumb,2574.25,2574.864,0.614
TT008,Session 3,Response,Right Thumb,2602.23,2602.798,0.568
TT008,Session 3,Response,Right Thumb,2628.958,2629.49,0.532
TT008,Session 3,Response,Right Thumb,2657.234,2657.848,0.614
TT008,Session 3,Response,Right Thumb,2690.874,2691.44,0.566
TT008,Session 3,Response,Right Thumb,2724.024,2724.72,0.696
TT008,Session 4,Response,Right Thumb,3140.33,3141.152,0.822
TT008,Session 4,Response,Right Thumb,3171.13,3171.722,0.592
TT008,Session 4,Response,Right Thumb,3202.188,3202.894,0.706
TT008,Session 4,Response,Right Thumb,3232.736,3233.004,0.268
TT008,Session 4,Response,Right Thumb,3263.308,3263.93,0.622
TT008,Session 4,Response,Right Thumb,3294.3,3294.986,0.686
TT008,Session 4,Response,Right Thumb,3318.63,3319.17,0.54
TT008,Session 4,Response,Right Thumb,3352.366,3353.002,0.636
TT008,Session 4,Response,Right Thumb,3385.48,3386.068,0.588
TT008,Session 4,Response,Right Thumb,3417.544,3418.128,0.584
TT008,Session 4,Response,Right Thumb,3448.156,3448.804,0.648
TT008,Session 4,Response,Right Thumb,3461.928,3462.616,0.688
TT008,Session 4,Response,Right Thumb,3474.532,3475.19,0.658
TT008,Session 4,Response,Right Thumb,3503.862,3504.408,0.546
TT008,Session 4,Response,Right Thumb,3537.092,3537.73,0.638
TT008,Session 4,Response,Right Thumb,3567.862,3568.096,0.234
TT008,Session 4,Response,Right Thumb,3584.832,3585.312,0.48
TT008,Session 4,Response,Right Thumb,3605.528,3606.028,0.5
TT008,Session 4,Response,Right Thumb,3627.038,3627.638,0.6
TT008,Session 4,Response,Right Thumb,3650.146,3650.734,0.588
TT008,Session 4,Response,Right Thumb,3683.01,3683.59,0.58
TT008,Session 4,Response,Right Thumb,3707.756,3708.356,0.6
TT008,Session 4,Response,Right Thumb,3741.6,3742.23,0.63
TT008,Session 4,Response,Right Thumb,3785.07,3785.702,0.632
TT008,Session 4,Response,Right Thumb,3814.242,3814.84,0.598
TT008,Session 4,Response,Right Thumb,3831.632,3832.272,0.64
TT008,Session 4,Response,Right Thumb,3866.76,3867.344,0.584
TT008,Session 4,Response,Right Thumb,3900.594,3901.228,0.634
TT008,Session 4,Response,Right Thumb,3939.534,3940.27,0.736
TT008,Session 4,Response,Right Thumb,4025.38,4025.996,0.616
TT008,Session 4,Response,Right Thumb,4062.734,4063.396,0.662
TT008,Session 4,Response,Right Thumb,4079.706,4080.446,0.74
TT008,Session 4,Reset,Left Index+Middle,4102.362,4103.022,0.66
TT008,Session 4,Response,Right Thumb,4145.008,4145.562,0.554
TT008,Session 4,Reset,Left Index+Middle,4257.884,4258.54,0.656
TT008,Session 4,Response,Right Thumb,4300.298,4300.77,0.472
TT008,Session 4,Response,Right Thumb,4413.284,4413.45,0.166
TT008,Session 4,Response,Right Thumb,4464.156,4464.664,0.508
TT008,Session 4,Response,Right Thumb,4504.71,4505.308,0.598
TT008,Session 4,Reset,Left Index+Middle,4529.122,4529.722,0.6
TT008,Session 4,Response,Right Thumb,4564.47,4565.066,0.596
TT008,Session 4,Response,Right Thumb,4601.33,4601.518,0.188
TT008,Session 4,Response,Right Thumb,4618.262,4618.466,0.204
TT008,Session 4,Response,Right Thumb,4651.262,4651.468,0.206
TT008,Session 4,Reset,Left Index+Middle,4688.77,4689.366,0.596
TT008,Session 4,Response,Right Thumb,4734.908,4735.57,0.662
TT008,Session 4,Response,Right Thumb,4757.852,4758.41,0.558
TT008,Session 4,Response,Right Thumb,4800.622,4801.128,0.506
TT008,Session 4,Response,Right Thumb,4848.884,4849.426,0.542
TT008,Session 4,Response,Right Thumb,4918.168,4918.716,0.548
TT008,Session 5,Response,Right Thumb,5276.368,5276.962,0.594
TT008,Session 5,Response,Right Thumb,5306.69,5307.362,0.672
TT008,Session 5,Response,Right Thumb,5336.98,5337.732,0.752
TT008,Session 5,Response,Right Thumb,5497.69,5498.274,0.584
TT008,Session 5,Response,Right Thumb,5524.834,5525.372,0.538
TT008,Session 5,Response,Right Thumb,5549.47,5549.996,0.526
TT008,Session 5,Response,Right Thumb,5572.312,5572.814,0.502
TT008,Session 5,Response,Right Thumb,5595.954,5596.472,0.518
TT008,Session 5,Response,Right Thumb,5781.556,5782.074,0.518
TT008,Session 5,Response,Right Thumb,5805.248,5805.768,0.52
TT008,Session 5,Response,Right Thumb,5830.37,5830.854,0.484
TT008,Session 5,Response,Right Thumb,5850.966,5851.486,0.52
TT008,Session 5,Response,Right Thumb,5875.746,5876.3,0.554
TT008,Session 5,Response,Right Thumb,5898.846,5899.406,0.56
TT008,Session 5,Response,Right Thumb,5921.95,5922.43,0.48
TT008,Session 5,Response,Right Thumb,5943.196,5943.734,0.538
TT008,Session 5,Response,Right Thumb,6104.356,6104.868,0.512
TT008,Session 5,Response,Right Thumb,6129.386,6129.846,0.46
TT008,Session 5,Response,Right Thumb,6171.052,6171.532,0.48
TT008,Session 5,Response,Right Thumb,6197.786,6198.242,0.456
TT008,Session 5,Response,Right Thumb,6219.598,6220.06,0.462
TT008,Session 5,Response,Right Thumb,6241.22,6241.664,0.444
TT008,Session 5,Response,Right Thumb,6261.768,6262.23,0.462
TT008,Session 5,Response,Right Thumb,6390.642,6391.17,0.528
TT008,Session 5,Response,Right Thumb,6411.346,6411.878,0.532
TT008,Session 5,Response,Right Thumb,6433.626,6434.156,0.53
TT008,Session 5,Response,Right Thumb,6454.27,6454.734,0.464
TT008,Session 5,Response,Right Thumb,6474.32,6474.856,0.536
TT008,Session 5,Response,Right Thumb,6495.152,6495.978,0.826
TT008,Session 5,Response,Right Thumb,6517.556,6518.086,0.53
TT008,Session 5,Response,Right Thumb,6537.42,6537.96,0.54
TT008,Session 5,Response,Right Thumb,6693.174,6694.026,0.852
TT008,Session 5,Response,Right Thumb,6719.9,6720.528,0.628
TT008,Session 5,Response,Right Thumb,6747.82,6748.354,0.534
TT008,Session 5,Response,Right Thumb,6776.084,6776.722,0.638
TT008,Session 5,Response,Right Thumb,6804.614,6805.258,0.644
TT008,Session 5,Response,Right Thumb,6833.528,6834.304,0.776
TT008,Session 5,Response,Right Thumb,6859.444,6860.074,0.63
TT008,Session 5,Response,Right Thumb,6882.932,6883.5,0.568
TT008,Session 5,Response,Right Thumb,7026.926,7027.434,0.508
TT008,Session 5,Response,Right Thumb,7047.288,7047.836,0.548
TT008,Session 5,Response,Right Thumb,7069.438,7069.978,0.54
TT008,Session 5,Response,Right Thumb,7090.578,7091.066,0.488
TT008,Session 5,Response,Right Thumb,7111.584,7112.112,0.528
TT008,Session 5,Response,Right Thumb,7132.69,7133.228,0.538
TT008,Session 5,Response,Right Thumb,7153.946,7154.456,0.51
TT008,Session 5,Response,Right Thumb,7171.924,7172.412,0.488
TT008,Session 5,Response,Right Thumb,7304.3,7304.784,0.484
TT008,Session 5,Response,Right Thumb,7325.804,7326.26,0.456
TT008,Session 5,Response,Right Thumb,7352.314,7352.792,0.478
TT008,Session 5,Reset,Left Index+Middle,7374.768,7377.574,2.806
TT008,Session 5,Response,Right Thumb,7400.214,7400.8,0.586
TT008,Session 5,Response,Right Thumb,7422.384,7423.012,0.628
TT008,Session 5,Response,Right Thumb,7444.514,7445.02,0.506
TT008,Session 5,Response,Right Thumb,7468.618,7469.192,0.574
TT008,Session 5,Response,Right Thumb,7490.592,7491.14,0.548
TT008,Session 5,Response,Right Thumb,7505.064,7505.776,0.712
TT008,Session 5,Response,Right Thumb,7533.1,7533.732,0.632
TT008,Session 5,Response,Right Thumb,7559.034,7559.74,0.706
TT008,Session 5,Response,Right Thumb,7715.048,7715.624,0.576
TT008,Session 5,Response,Right Thumb,7750.094,7750.638,0.544
TT008,Session 5,Response,Right Thumb,7781.78,7782.36,0.58
TT008,Session 5,Reset,Left Index+Middle,7799.41,7800.044,0.634
TT008,Session 5,Reset,Left Index+Middle,7808.59,7809.332,0.742
TT008,Session 5,Response,Right Thumb,7853.612,7854.33,0.718
TT008,Session 5,Response,Right Thumb,7896.014,7896.606,0.592
TT008,Session 5,Response,Right Thumb,7937.428,7938.054,0.626
TT008,Session 5,Response,Right Thumb,7978.796,7979.756,0.96
TT008,Session 5,Response,Right Thumb,8021.664,8022.38,0.716
TT008,Session 5,Response,Right Thumb,8073.964,8074.696,0.732
TT008,Session 5,Response,Right Thumb,8108.004,8108.636,0.632
TT008,Session 5,Response,Right Thumb,8152.442,8153.122,0.68
TT008,Session 5,Reset,Left Index+Middle,8290.114,8290.768,0.654
TT008,Session 5,Response,Right Thumb,8331.01,8331.678,0.668
TT008,Session 5,Response,Right Thumb,8369.286,8370.066,0.78
TT008,Session 5,Response,Right Thumb,8411.026,8411.844,0.818
TT008,Session 5,Response,Right Thumb,8452.544,8453.29,0.746
TT008,Session 5,Response,Right Thumb,8499.384,8500.07,0.686
TT008,Session 5,Response,Right Thumb,8548.924,8549.728,0.804
TT008,Session 5,Response,Right Thumb,8589.774,8590.502,0.728
TT008,Session 5,Response,Right Thumb,8634.812,8635.424,0.612
TT008,Session 5,Response,Right Thumb,8798.596,8799.244,0.648
TT008,Session 5,Response,Right Thumb,8834.0,8834.686,0.686
TT008,Session 5,Response,Right Thumb,8883.23,8883.864,0.634
TT008,Session 5,Response,Right Thumb,8918.72,8919.278,0.558
TT008,Session 5,Response,Right Thumb,8949.156,8949.856,0.7
TT008,Session 5,Reset,Left Index+Middle,8977.284,8978.092,0.808
TT008,Session 5,Response,Right Thumb,9006.824,9007.756,0.932
TT008,Session 5,Response,Right Thumb,9037.096,9037.84,0.744
TT008,Session 5,Reset,Left Index+Middle,9050.476,9051.462,0.986
TT008,Session 5,Response,Right Thumb,9085.554,9086.358,0.804
TT008,Session 5,Response,Right Thumb,9122.676,9123.622,0.946
TT008,Session 5,Response,Right Thumb,9173.788,9174.534,0.746
TT008,Session 5,Reset,Left Index+Middle,9209.432,9210.306,0.874
TT008,Session 5,Response,Right Thumb,9254.724,9255.576,0.852
TT008,Session 5,Response,Right Thumb,9301.272,9302.162,0.89
TT008,Session 5,Response,Right Thumb,9350.3,9351.194,0.894
TT008,Session 5,Reset,Left Index+Middle,9385.474,9386.558,1.084
TT008,Session 5,Response,Right Thumb,9433.512,9434.292,0.78
TT008,Session 5,Reset,Left Index+Middle,9453.232,9454.366,1.134
TT008,Session 5,Response,Right Thumb,9499.864,9500.796,0.932
TT008,Session 5,Reset,Left Index+Middle,9514.142,9515.134,0.992
TT008,Session 5,Response,Right Thumb,9557.99,9558.822,0.832
TT008,Session 5,Response,Right Thumb,9599.706,9600.448,0.742
TT008,Session 5,Reset,Left Index+Middle,9625.888,9626.964,1.076
TT008,Session 5,Response,Right Thumb,9816.314,9817.142,0.828
TT008,Session 5,Response,Right Thumb,9851.72,9852.412,0.692
TT008,Session 5,Response,Right Thumb,9884.626,9885.412,0.786
TT008,Session 5,Response,Right Thumb,9919.996,9920.822,0.826
TT008,Session 5,Response,Right Thumb,9948.636,9949.546,0.91
TT008,Session 5,Response,Right Thumb,9975.68,9976.468,0.788
TT008,Session 5,Response,Right Thumb,10008.01,10008.98,0.97
TT008,Session 5,Response,Right Thumb,10044.162,10044.91,0.748
TT008,Session 5,Response,Right Thumb,10227.298,10228.05,0.752
TT008,Session 5,Response,Right Thumb,10262.642,10263.34,0.698
TT008,Session 5,Response,Right Thumb,10295.734,10296.45,0.716
TT008,Session 5,Response,Right Thumb,10329.55,10330.262,0.712
TT008,Session 5,Response,Right Thumb,10367.458,10368.236,0.778
TT008,Session 5,Response,Right Thumb,10403.99,10404.736,0.746
TT008,Session 5,Response,Right Thumb,10431.672,10432.456,0.784
TT008,Session 5,Response,Right Thumb,10472.12,10472.942,0.822
TT008,Session 5,Response,Right Thumb,10642.74,10643.474,0.734
TT008,Session 7,Response,Right Thumb,11433.078,11433.742,0.664
TT008,Session 7,Response,Right Thumb,11462.006,11462.674,0.668
TT008,Session 7,Response,Right Thumb,11491.022,11491.748,0.726
TT008,Session 7,Response,Right Thumb,11522.414,11523.164,0.75
TT008,Session 7,Response,Right Thumb,11554.68,11555.428,0.748
TT008,Session 7,Response,Right Thumb,11583.858,11584.61,0.752
TT008,Session 7,Response,Right Thumb,11613.324,11614.066,0.742
TT008,Session 7,Response,Right Thumb,11644.598,11645.298,0.7
TT008,Session 7,Response,Right Thumb,11673.51,11674.336,0.826
TT008,Session 7,Response,Right Thumb,11703.032,11703.796,0.764
TT008,Session 7,Response,Right Thumb,11732.122,11732.868,0.746
TT008,Session 7,Response,Right Thumb,11760.554,11761.312,0.758
TT008,Session 7,Response,Right Thumb,11789.004,11789.698,0.694
TT008,Session 7,Response,Right Thumb,11816.06,11816.822,0.762
TT008,Session 7,Response,Right Thumb,11846.84,11847.596,0.756
TT008,Session 7,Response,Right Thumb,11876.59,11877.226,0.636
TT008,Session 7,Response,Right Thumb,11907.54,11908.264,0.724
TT008,Session 7,Response,Right Thumb,11938.036,11938.708,0.672
TT008,Session 7,Response,Right Thumb,11969.044,11969.748,0.704
TT008,Session 7,Response,Right Thumb,12001.41,12002.388,0.978
TT008,Session 7,Response,Right Thumb,12036.696,12037.5,0.804
TT008,Session 7,Response,Right Thumb,12067.164,12067.958,0.794
TT008,Session 7,Response,Right Thumb,12106.304,12106.986,0.682
TT008,Session 7,Response,Right Thumb,12136.586,12137.404,0.818
TT008,Session 7,Response,Right Thumb,12169.89,12170.766,0.876
TT008,Session 7,Response,Right Thumb,12204.532,12205.312,0.78
TT008,Session 7,Response,Right Thumb,12235.292,12235.926,0.634
TT008,Session 7,Response,Right Thumb,12264.318,12265.014,0.696
TT008,Session 7,Response,Right Thumb,12295.108,12295.844,0.736
