subject,session,event,channel,onset_s,offset_s,duration_s
TT002,pre-session,Response,Right Ring+Pinky,330.534,339.304,8.77
TT002,pre-session,Reset,Left Ring+Pinky,338.024,339.896,1.872
TT002,pre-session,Response,Right Ring+Pinky,344.598,345.782,1.184
TT002,pre-session,Response,Right Ring+Pinky,354.274,358.876,4.602
TT002,pre-session,Reset,Left Ring+Pinky,364.342,364.692,0.35
TT002,Session 2,Reset,Left Ring+Pinky,424.738,425.066,0.328
TT002,Session 2,Reset,Left Ring+Pinky,433.912,434.378,0.466
TT002,Session 2,Reset,Left Ring+Pinky,441.818,442.316,0.498
TT002,Session 2,Reset,Left Ring+Pinky,449.104,449.544,0.44
TT002,Session 2,Reset,Left Ring+Pinky,456.734,457.322,0.588
TT002,Session 2,Reset,Left Ring+Pinky,468.926,469.418,0.492
TT002,Session 2,Response,Right Ring+Pinky,476.934,477.56,0.626
TT002,Session 2,Response,Right Ring+Pinky,484.132,484.622,0.49
TT002,Session 3,Response,Right Ring+Pinky,691.51,692.116,0.606
TT002,Session 3,Response,Right Ring+Pinky,699.314,699.868,0.554
TT002,Session 3,Response,Right Ring+Pinky,720.034,720.568,0.534
TT002,Session 3,Response,Right Ring+Pinky,742.358,742.866,0.508
TT002,Session 3,Response,Right Ring+Pinky,763.548,764.052,0.504
TT002,Session 3,Response,Right Ring+Pinky,786.416,786.816,0.4
TT002,Session 3,Response,Right Ring+Pinky,811.136,811.664,0.528
TT002,Session 3,Response,Right Ring+Pinky,834.9,835.456,0.556
TT002,Session 3,Response,Right Ring+Pinky,857.946,858.504,0.558
TT002,Session 3,Response,Right Ring+Pinky,881.466,882.1,0.634
TT002,Session 3,Response,Right Ring+Pinky,905.806,906.46,0.654
TT002,Session 3,Response,Right Ring+Pinky,930.192,930.866,0.674
TT002,Session 3,Response,Right Ring+Pinky,955.082,955.64,0.558
TT002,Session 3,Response,Right Ring+Pinky,980.076,980.632,0.556
TT002,Session 3,Response,Right Ring+Pinky,1005.366,1005.92,0.554
TT002,Session 3,Response,Right Ring+Pinky,1028.488,1029.242,0.754
TT002,Session 3,Response,Right Ring+Pinky,1053.608,1054.256,0.648
TT002,Session 3,Response,Right Ring+Pinky,1078.146,1078.744,0.598
TT002,Session 3,Response,Right Ring+Pinky,1103.67,1104.304,0.634
TT002,Session 3,Response,Right Ring+Pinky,1129.864,1130.656,0.792
TT002,Session 3,Response,Right Ring+Pinky,1156.146,1156.732,0.586
TT002,Session 3,Response,Right Ring+Pinky,1183.458,1184.122,0.664
TT002,Session 3,Response,Right Ring+Pinky,1210.104,1210.784,0.68
TT002,Session 3,Response,Right Ring+Pinky,1244.522,1245.154,0.632
TT002,Session 3,Reset,Left Ring+Pinky,1261.556,1262.256,0.7
TT002,Session 3,Response,Right Ring+Pinky,1284.644,1285.358,0.714
TT002,Session 3,Response,Right Ring+Pinky,1311.962,1312.918,0.956
TT002,Session 3,Response,Right Ring+Pinky,1338.44,1339.152,0.712
TT002,Session 3,Response,Right Ring+Pinky,1364.792,1365.63,0.838
TT002,Session 3,Response,Right Ring+Pinky,1389.054,1389.808,0.754
TT002,Session 3,Response,Right Ring+Pinky,1413.438,1414.2,0.762
TT002,Session 3,Response,Right Ring+Pinky,1439.06,1439.662,0.602
TT002,Session 3,Response,Right Ring+Pinky,1463.898,1464.612,0.714
TT002,Session 3,Response,Right Ring+Pinky,1489.408,1490.248,0.84
TT002,Session 3,Response,Right Ring+Pinky,1514.292,1515.188,0.896
TT002,Session 3,Response,Right Ring+Pinky,1542.52,1543.104,0.584
TT002,Session 3,Reset,Left Ring+Pinky,1551.422,1556.78,5.358
