subject,session,event,channel,onset_s,offset_s,duration_s
TT009,pre-session,Reset,Right Ring+Pinky,1058.082,1060.732,2.65
TT009,pre-session,Response,Left Index+Middle,1058.246,1073.09,14.844
TT009,pre-session,Reset,Right Ring+Pinky,1075.618,1076.12,0.502
TT009,pre-session,Response,Left Index+Middle,1085.25,1087.256,2.006
TT009,pre-session,Response,Left Index+Middle,1110.344,1110.83,0.486
TT009,pre-session,Response,Left Index+Middle,1120.652,1120.854,0.202
TT009,Session 2,Response,Left Index+Middle,1155.054,1155.402,0.348
TT009,Session 2,Response,Left Index+Middle,1162.982,1163.43,0.448
TT009,Session 2,Response,Left Index+Middle,1171.196,1171.566,0.37
TT009,Session 2,Reset,Right Ring+Pinky,1185.352,1186.558,1.206
TT009,Session 2,Response,Left Index+Middle,1199.454,1200.716,1.262
TT009,Session 3,Response,Left Index+Middle,1405.962,1406.646,0.684
TT009,Session 3,Response,Left Index+Middle,1430.48,1431.096,0.616
TT009,Session 3,Response,Left Index+Middle,1467.222,1467.9,0.678
TT009,Session 3,Response,Left Index+Middle,1493.756,1494.332,0.576
TT009,Session 3,Response,Left Index+Middle,1531.418,1532.278,0.86
TT009,Session 3,Response,Left Index+Middle,1574.226,1574.912,0.686
TT009,Session 3,Response,Left Index+Middle,1617.402,1618.14,0.738
TT009,Session 3,Response,Left Index+Middle,1657.276,1658.052,0.776
TT009,Session 3,Response,Left Index+Middle,1691.58,1692.23,0.65
TT009,Session 3,Response,Left Index+Middle,1735.026,1735.616,0.59
TT009,Session 3,Response,Left Index+Middle,1782.214,1783.022,0.808
TT009,Session 3,Response,Left Index+Middle,1836.032,1836.756,0.724
TT009,Session 3,Response,Left Index+Middle,1876.024,1876.622,0.598
TT009,Session 3,Response,Left Index+Middle,1929.45,1930.078,0.628
TT009,Session 3,Reset,Right Ring+Pinky,1941.686,1943.046,1.36
TT009,Session 3,Reset,Right Ring+Pinky,1949.978,1952.186,2.208
TT009,Session 3,Response,Left Index+Middle,1972.254,1972.786,0.532
TT009,Session 3,Response,Left Index+Middle,2019.032,2019.552,0.52
TT009,Session 3,Response,Left Index+Middle,2055.656,2056.32,0.664
TT009,Session 3,Response,Left Index+Middle,2129.146,2129.926,0.78
TT009,Session 3,Reset,Right Ring+Pinky,2179.3,2182.034,2.734
TT009,Session 3,Response,Left Index+Middle,2229.574,2230.144,0.57
TT009,Session 3,Response,Left Index+Middle,2265.778,2266.424,0.646
TT009,Session 4,Response,Left Index+Middle,2744.162,2744.82,0.658
TT009,Session 4,Reset,Right Ring+Pinky,2770.158,2772.222,2.064
TT009,Session 4,Response,Left Index+Middle,2801.134,2801.774,0.64
TT009,Session 4,Response,Left Index+Middle,2837.268,2837.9,0.632
TT009,Session 4,Response,Left Index+Middle,2881.814,2882.302,0.488
TT009,Session 4,Response,Left Index+Middle,2922.374,2923.048,0.674
TT009,Session 4,Response,Left Index+Middle,2963.314,2963.986,0.672
TT009,Session 4,Response,Left Index+Middle,3001.008,3001.702,0.694
TT009,Session 4,Response,Left Index+Middle,3018.402,3019.084,0.682
TT009,Session 4,Reset,Right Ring+Pinky,3021.196,3023.042,1.846
TT009,Session 4,Response,Left Index+Middle,3063.426,3064.126,0.7
TT009,Session 4,Reset,Right Ring+Pinky,3093.098,3094.058,0.96
TT009,Session 4,Response,Left Index+Middle,3123.664,3124.496,0.832
TT009,Session 4,Reset,Right Ring+Pinky,3139.932,3141.098,1.166
TT009,Session 4,Response,Left Index+Middle,3174.92,3175.654,0.734
TT009,Session 4,Response,Left Index+Middle,3187.302,3187.996,0.694
TT009,Session 4,Reset,Right Ring+Pinky,3212.918,3213.776,0.858
TT009,Session 4,Response,Left Index+Middle,3237.48,3238.15,0.67
TT009,Session 4,Reset,Right Ring+Pinky,3291.23,3292.186,0.956
TT009,Session 4,Response,Left Index+Middle,3318.316,3318.988,0.672
TT009,Session 4,Response,Left Index+Middle,3331.358,3332.002,0.644
TT009,Session 4,Reset,Right Ring+Pinky,3362.946,3363.59,0.644
TT009,Session 4,Reset,Right Ring+Pinky,3394.526,3395.328,0.802
TT009,Session 4,Response,Left Index+Middle,3404.684,3404.918,0.234
TT009,Session 4,Response,Left Index+Middle,3433.578,3434.222,0.644
TT009,Session 4,Reset,Right Ring+Pinky,3469.094,3469.942,0.848
TT009,Session 4,Reset,Right Ring+Pinky,3503.098,3503.868,0.77
TT009,Session 4,Reset,Right Ring+Pinky,3537.306,3537.966,0.66
TT009,Session 4,Reset,Right Ring+Pinky,3565.55,3566.28,0.73
TT009,Session 4,Reset,Right Ring+Pinky,3626.912,3627.116,0.204
TT009,Session 4,Reset,Right Ring+Pinky,3673.386,3674.034,0.648
TT009,Session 4,Reset,Right Ring+Pinky,3695.596,3696.244,0.648
TT009,Session 5,Reset,Right Ring+Pinky,4066.844,4067.528,0.684
TT009,Session 5,Response,Left Index+Middle,4098.688,4100.762,2.074
TT009,Session 5,Response,Left Index+Middle,4131.186,4132.05,0.864
TT009,Session 5,Response,Left Index+Middle,4161.972,4162.768,0.796
TT009,Session 5,Response,Left Index+Middle,4294.292,4295.006,0.714
TT009,Session 5,Response,Left Index+Middle,4328.688,4329.336,0.648
TT009,Session 5,Reset,Right Ring+Pinky,4410.708,4411.896,1.188
TT009,Session 5,Response,Left Index+Middle,4445.314,4446.08,0.766
TT009,Session 5,Reset,Right Ring+Pinky,4490.782,4491.514,0.732
TT009,Session 5,Response,Left Index+Middle,4522.528,4523.144,0.616
TT009,Session 5,Reset,Right Ring+Pinky,4595.986,4596.716,0.73
TT009,Session 5,Reset,Right Ring+Pinky,4624.624,4625.818,1.194
TT009,Session 5,Response,Left Index+Middle,4792.112,4792.828,0.716
TT009,Session 5,Reset,Right Ring+Pinky,4810.71,4811.718,1.008
TT009,Session 5,Response,Left Index+Middle,4842.576,4843.354,0.778
TT009,Session 5,Reset,Right Ring+Pinky,4864.75,4865.574,0.824
TT009,Session 5,Reset,Right Ring+Pinky,4885.914,4887.076,1.162
TT009,Session 5,Reset,Right Ring+Pinky,4906.374,4907.328,0.954
TT009,Session 5,Response,Left Index+Middle,5005.224,5007.692,2.468
TT009,Session 5,Response,Left Index+Middle,5037.18,5037.976,0.796
TT009,Session 5,Response,Left Index+Middle,5070.522,5071.138,0.616
TT009,Session 5,Response,Left Index+Middle,5103.016,5103.726,0.71
TT009,Session 5,Response,Left Index+Middle,5112.834,5113.65,0.816
TT009,Session 5,Response,Left Index+Middle,5142.63,5143.12,0.49
TT009,Session 5,Response,Left Index+Middle,5176.48,5177.206,0.726
TT009,Session 5,Response,Left Index+Middle,5318.512,5319.392,0.88
TT009,Session 5,Reset,Right Ring+Pinky,5405.696,5406.598,0.902
TT009,Session 5,Reset,Right Ring+Pinky,5456.884,5457.802,0.918
TT009,Session 5,Reset,Right Ring+Pinky,5511.064,5511.84,0.776
TT009,Session 5,Reset,Right Ring+Pinky,5619.004,5619.842,0.838
TT009,Session 5,Reset,Right Ring+Pinky,5645.61,5646.284,0.674
TT009,Session 5,Reset,Right Ring+Pinky,5661.922,5662.78,0.858
TT009,Session 5,Reset,Right Ring+Pinky,5695.532,5695.852,0.32
