subject,session,event,channel,onset_s,offset_s,duration_s
TT010,pre-session,Response,Right Thumb,1152.108,1153.748,1.64
TT010,pre-session,Response,Right Thumb,1164.532,1167.212,2.68
TT010,pre-session,Reset,Left Thumb,1165.816,1167.188,1.372
TT010,pre-session,Response,Right Thumb,1178.792,1180.048,1.256
TT010,pre-session,Reset,Left Thumb,1182.1,1182.994,0.894
TT010,pre-session,Response,Right Thumb,1252.252,1253.52,1.268
TT010,pre-session,Response,Right Thumb,1264.878,1265.938,1.06
TT010,pre-session,Response,Right Thumb,1276.152,1277.248,1.096
TT010,pre-session,Reset,Left Thumb,1280.29,1282.218,1.928
TT010,pre-session,Response,Right Thumb,1294.08,1295.118,1.038
TT010,pre-session,Response,Right Thumb,1608.178,1609.33,1.152
TT010,pre-session,Response,Right Thumb,1638.536,1639.69,1.154
TT010,pre-session,Response,Right Thumb,1668.07,1669.318,1.248
TT010,pre-session,Response,Right Thumb,1699.668,1700.742,1.074
TT010,pre-session,Response,Right Thumb,1732.078,1733.21,1.132
TT010,pre-session,Response,Right Thumb,1765.488,1766.63,1.142
TT010,pre-session,Response,Right Thumb,1800.264,1801.552,1.288
TT010,pre-session,Response,Right Thumb,1839.958,1841.224,1.266
TT010,pre-session,Response,Right Thumb,1881.32,1882.758,1.438
TT010,pre-session,Response,Right Thumb,1923.83,1925.4,1.57
TT010,pre-session,Response,Right Thumb,1964.75,1966.148,1.398
TT010,pre-session,Response,Right Thumb,2009.556,2011.018,1.462
TT010,pre-session,Response,Right Thumb,2050.524,2051.734,1.21
TT010,pre-session,Response,Right Thumb,2108.944,2110.11,1.166
TT010,pre-session,Response,Right Thumb,2149.45,2150.502,1.052
TT010,pre-session,Reset,Left Thumb,2175.61,2176.462,0.852
TT010,pre-session,Response,Right Thumb,2211.918,2213.232,1.314
TT010,pre-session,Response,Right Thumb,2249.49,2250.968,1.478
TT010,pre-session,Response,Right Thumb,2291.422,2292.64,1.218
TT010,pre-session,Response,Right Thumb,2329.374,2330.418,1.044
TT010,pre-session,Response,Right Thumb,2365.142,2366.316,1.174
TT010,pre-session,Response,Right Thumb,2402.568,2403.766,1.198
TT010,pre-session,Response,Right Thumb,2443.522,2444.6,1.078
TT010,pre-session,Response,Right Thumb,2482.048,2482.878,0.83
TT010,pre-session,Response,Right Thumb,2875.118,2876.166,1.048
TT010,pre-session,Response,Right Thumb,2902.318,2903.354,1.036
TT010,pre-session,Response,Right Thumb,2932.156,2933.388,1.232
TT010,pre-session,Response,Right Thumb,2965.592,2966.786,1.194
TT010,pre-session,Response,Right Thumb,2999.544,3001.366,1.822
TT010,pre-session,Reset,Left Thumb,2999.608,2999.92,0.312
TT010,pre-session,Reset,Left Thumb,3030.452,3031.44,0.988
TT010,pre-session,Response,Right Thumb,3063.496,3064.43,0.934
TT010,pre-session,Response,Right Thumb,3096.59,3097.768,1.178
TT010,pre-session,Response,Right Thumb,3133.908,3135.06,1.152
TT010,pre-session,Reset,Left Thumb,3145.556,3146.442,0.886
TT010,pre-session,Reset,Left Thumb,3180.598,3181.574,0.976
TT010,pre-session,Response,Right Thumb,3218.982,3220.15,1.168
TT010,pre-session,Reset,Left Thumb,3240.052,3240.958,0.906
TT010,pre-session,Reset,Left Thumb,3261.522,3262.476,0.954
TT010,pre-session,Reset,Left Thumb,3275.968,3276.886,0.918
TT010,pre-session,Reset,Left Thumb,3298.624,3299.698,1.074
TT010,pre-session,Reset,Left Thumb,3317.204,3318.196,0.992
TT010,pre-session,Reset,Left Thumb,3358.496,3359.514,1.018
TT010,pre-session,Reset,Left Thumb,3386.454,3387.444,0.99
TT010,pre-session,Reset,Left Thumb,3397.056,3398.018,0.962
TT010,pre-session,Reset,Left Thumb,3422.168,3423.078,0.91
TT010,pre-session,Response,Right Thumb,3477.16,3477.474,0.314
TT010,pre-session,Response,Right Thumb,3504.742,3505.854,1.112
TT010,pre-session,Reset,Left Thumb,3598.472,3599.288,0.816
TT010,pre-session,Reset,Left Thumb,3611.264,3612.014,0.75
TT010,pre-session,Reset,Left Thumb,3693.662,3694.534,0.872
TT010,Session 2,Response,Right Thumb,4094.936,4095.994,1.058
TT010,Session 2,Response,Right Thumb,4124.402,4125.45,1.048
TT010,Session 2,Response,Right Thumb,4155.07,4156.206,1.136
TT010,Session 2,Response,Right Thumb,4185.258,4186.308,1.05
TT010,Session 2,Response,Right Thumb,4330.544,4331.45,0.906
TT010,Session 2,Response,Right Thumb,4363.474,4363.85,0.376
